NCT ID,Study Title,Conditions,Inclusion Criteria,Exclusion Criteria,Interventions,Study Type,Overall Status
NCT01422317,Effects of High-dose n-3 Fatty Acids on Clinical Outcome and Serum Lipids - Omacor Following Acute Myocardial Infarction,"Coronary Disease, Myocardial Infarction","* Verified an acute myocardial infarction (MI) by World Health Organization criteria
* Age above 18 years
* Discontinuation of a regular supplementation of other fish-oil products
* Signed informed consent","* Assumed noncompliance to protocol
* Expected survival \< 2 y because of severe heart failure (New York Heart Association class IV), malignancy, or other reasons
* Ongoing gastrointestinal bleeding or verified stomach ulcer
* Thrombocytopenia or blood platelets \< 100 x 10'9/L
* Liver insufficiency
* Participation in any other study
* Residence outside the recruitment area of this study","EPA / DHA / Alpha-Tocopherol, Corn Oil / Alpha-Tocopherol (4 mg)",INTERVENTIONAL,COMPLETED
NCT01890317,Mild Hypothermia in Cardiogenic Shock Complicating Myocardial Infarction,"Acute; Myocardial Infarction, Complications, Cardiogenic Shock","* Acute myocardial infarction complicated by cardiongenic shock
* Patients on mechanical ventilation at time of randomization","* Out of hospital resuscitation with indication for mild hypothermia
* mechanical complications after acute myocardial infarction
* duration of cardiogenic shock \> 12 hours
* age \> 90 years",Mild hypothermia,INTERVENTIONAL,COMPLETED
NCT00607217,The Efficacy of Influenza Vaccination in Patients With Coronary Artery Diseases,"Coronary Artery Diseases, Myocardial Infarction, Stable Angina","* Coronary artery disease (CAD) group (CAD-Exp and CAD-Control):
* Patients with the diagnosis of acute, evolving or recent MI (after recovered the acute phase) as defined by:

  1. Typical rise and gradual fall (troponin) or more rapid rise and fall (CK-MB) of biochemical markers of myocardial necrosis with at least one of the following:
* Ischemic symptoms
* Development of pathologic Qwaves on the ECG
* ECG changes indicative of ischemia (ST segment elevation or depression); OR
* Coronary artery intervention (e.g., coronary angioplasty). 2. Pathologic findings of an acute MI \[1\]:
* Patients with stable angina pectoris (SA) and documented coronary artery stenosis (angiography).
* Healthy Control group: healthy controls, proportionally matched by gender and age with the patient group (separate control groups for MI and SA patients).","* Any acute disease
* Chronic liver or kidney diseases
* Conditions accompanied by immunosuppression (like organ transplantation, HIV)
* Diagnosed malignancy
* Incubation with influenza vaccine within the past 5 years
* Any psychological disease that interferes with regular follow-up
* Congestive heart failure (Killip class IV)
* Unstable angina; AND
* Contradictions of vaccine incubation (like egg allergy).","influenza vaccine, placebo for influenza vaccine, influenza vaccine",INTERVENTIONAL,COMPLETED
NCT04285736,Efficacy of Oral Ivabradine in Patients Presenting With NSTEMI,NSTEMI,* Patients with NSTEMI with normal sinus rhythm and heart rate (HR) more than 70 beats per minute (bpm) and systolic blood pressure (SBP) \>90 mm Hg undergoing PCI,"* Patients needing urgent cardiac surgery, IV inotropic agents or had a HR less than 60 bpm without any medication.","Ivabradine, Conventional Treatment",INTERVENTIONAL,COMPLETED
NCT01489449,Bare Metal Stent Versus Drug Coated Balloon With Provisional Stenting in Non-ST-Elevation Myocardial Infarction,"Coronary Heart Disease, NSTEMI","* NSTEMI with
* Ischemic symptoms (angina pectoris) \> 30 minutes
* Last symptoms within 72 hours before randomization
* Positive cardiac troponin T, I, or hs-Troponin above 99th percentile
* age \> 18 years
* Identifiable culprit lesion without angiographic evidence of large thrombus with intended early PCI (treatment of up to two lesions allowed)","* Cardiogenic shock
* ST-elevation myocardial infarction
* No identifiable culprit lesion, Indication for acute bypass surgery
* Comorbidity with limited life expectancy \< 9-12 months
* Contraindication for treatment with heparin, ASA and thienopyridines","Stent, SeQuent(R) Please coated balloon",INTERVENTIONAL,COMPLETED
NCT01927549,Culprit Lesion Only PCI Versus Multivessel PCI in Cardiogenic Shock,"Cardiogenic Shock, Acute Myocardial Infarction, Complications","Cardiogenic shock complicating acute myocardial infarction (STEMI or NSTEMI) with obligatory:

I) Planned early revascularization by PCI II) Multivessel coronary artery disease defined as more than 70% stenosis in at least 2 major vessels (more than 2 mm diameter) with identifiable culprit lesion III)

1. Systolic blood pressure less than 90 mmHg for more than 30 min or
2. catecholamines required to maintain pressure more than 90 mmHg during systole and IV) Signs of pulmonary congestion V) Signs of impaired organ perfusion with at least one of the following criteria

a) Altered mental status b) Cold, clammy skin and extremities c) Oliguria with urine output less than 30 ml/h d) Serum-lactate more than 2.0 mmol/l VI) Informed consent","* Resuscitation more than 30 minutes
* No intrinsic heart action
* Cerebral deficit with fixed dilated pupils (not drug-induced)
* Need for primary urgent bypass surgery (to be determined after diagnostic angiography)
* Single vessel disease
* Mechanical cause of cardiogenic shock
* Onset of shock more than 12 h
* Massive lung emboli
* Age more than 90 years
* Shock of other cause (bradycardia, sepsis, hypovolemia, etc.)
* Other severe concomitant disease with limited life expectancy \<6 months
* Pregnancy
* Known severe renal insufficiency (creatinine clearance \<30 ml/kg)","Immediate multivessel PCI, Culprit Lesion only PCI",INTERVENTIONAL,COMPLETED
NCT02251249,Impairment of Gastric Emptying During Acute Phase of Myocardial Infarction. Impact on Oral Antiplatelet Treatment Efficacy. The GASTRIM Study.,"Impairment of Gastric Emptying, Acute Phase of Myocardial Infarction","* Patient over 18 years weighing between 65 and 85 Kg
* Referred for STEMI within 6 hours from beginning of chest pain or stable coronary artery disease requiring a loading dose of Prasugrel or Ticagrelor according to the international recommendations.
* No previous treatment with Clopidogrel, Prasugrel or Ticagrelor.
* Patient fasting for at least 6 hours.
* Affiliate or receiving a social security system.
* Written informed consent.","* Allergy or contraindication to paracetamol, Prasugrel or Ticagrelor
* Paracetamol ingestion in the previous 48 hours
* Patient treated with drugs supposed to alter gastric emptying times (calcium antagonists, Alimentary tract treatments, opioid analgesics, tricyclic antidepressants, antibiotics).
* Conditions or pathologies supposed to alter gastric emptying times (Thyroid dysfunction, chronic renal failure, Parkinson's disease, scleroderma, amyloidosis, any gastrointestinal disease, any not cured malignancy, and any advanced psychiatric or neurological disease).
* Presence of vomiting
* Cardiogenic shock, ventricular arrhythmia or resuscitated cardiac arrest
* Hepatic insufficiency
* Severe respiratory disease
* Pregnant or breastfeeding women",Paracetamol concentration time curve from 0 to 120 min,INTERVENTIONAL,COMPLETED
NCT04382313,Effect of Hydration Guided by Vigileo on the Prevention of CIN After PCI for Patients With AMI,"Myocardial Infarction, Contrast-induced Nephropathy","* Clearly diagnosed STEMI or NSTEMI patients:
* Patients aged 18-80 years
* Patients are scheduled to undergo emergency percutaneous coronary interventions
* Estimated glomerular filtration rate eGFR \<120ml / min (according to MDRD formula)
* Sign the informed consent to join the group.","* Patients with mechanical complications
* Patients with cardiogenic shock
* Patients with aortic dissection
* Patients who have malignant tumors or short-term progressive diseases that researchers believe improper to be included in the group
* Hemodialysis-dependent patients with end-stage renal failure
* Patients who had a history of exposure to radioactive contrast media within 1 week before or 72 hours after direct PCI
* Patients who are allergic to radioactive contrast agents
* Patients diagnosed with right ventricular myocardial infarction with hypotension (defined as systolic blood pressure ≤90 mmHg) on admission.",the adequate hydration group guided by Vigileo,INTERVENTIONAL,COMPLETED
NCT06468982,Use of Intra-aortic Balloon Pump Before Surgery for Acute Myocardial Infarction,"Acute Myocardial Infarction, Coronary Artery Disease, Coronary Bypass Graft Stenosis of Autologous Vessel, Troponin, IABP - Disorder of Intra-Aortic Balloon Pump",* Patients who have had acute myocardial infarction and have been decided on coronary surgical revascularization,"* mechanical complications of Acute Myocardial Infarction (such as a ruptured chordal or ventricular septum)
* peripheral arterial disease
* renal failure
* history of cerebrovascular accident
* acute cardiogenic shock and cardiac arrest
* reoperation and combined operations",Intra-aortic Balloon Pump,INTERVENTIONAL,COMPLETED
NCT03260582,Implementation and Assessment of a Life-style Focused Patient Support Application in Myocardial Infarction Patients,Myocardial Infarction,"Inclusion criteria

* Age \< 75 years. This cut-off is set as only those \< 75 years of age are followed in the national Secondary Prevention after Heart Intensive Care Admission (SEPHIA) registry
* Has suffered an MI within the last 2 weeks
* Owns a smartphone and/or has access to internet via a computer or surf pad and can handle the software","* Expected survival \< 1 year
* Dementia, severe psychiatric illness or drug abuse
* Severe physical handicap limiting the patient´s ability to participate in exercise-based CR
* Not able to speak or understand the Swedish language
* Three-vessel disease requiring coronary artery bypass grafting",LifePod®,INTERVENTIONAL,COMPLETED
NCT03087773,Impact of EMpagliflozin on Cardiac Function and Biomarkers of Heart Failure in Patients With Acute MYocardial Infarction,Acute Myocardial Infarction,"1. Myocardial infarction with evidence of significant myocardial necrosis defined as a rise in creatinine kinase \>800 U/l and a troponin T-level (or troponin I-level) \>10x upper limit of normal (ULN). In addition at least 1 of the following criteria must be the met:

   * Symptoms of ischemia
   * ECG (electrocardiogram) changes indicative of new ischemia (new ST-T changes or new LBBB)
   * Imaging evidence of new regional wall motion abnormality
2. 18 - 80 years of age
3. Informed consent has to be given in written form
4. estimated glomerular filtration rate (eGFR) \> 45 ml/min/1.73m2
5. Blood pressure before first drug dosing: Riva Rocci (RR) systolic \>110 mmHg
6. Blood pressure before first drug dosing: Riva Rocci (RR) diastolic \>70 mmHg
7. ≤72h after myocardial infarction (after the performance of a coronary angiography)","1. Any other form of diabetes mellitus than type 2 diabetes mellitus, history of diabetic ketoacidosis
2. Blood potential hydrogen (pH) \< 7,32
3. Known allergy to SGLT-2 inhibitors
4. Hemodynamic instability as defined by intravenous administration of catecholamine, calcium sensitizers or phosphodiesterase inhibitors
5. \>1 episode of severe hypoglycemia within the last 6 months and treatment with insulin or sulfonylurea
6. Females of childbearing potential without adequate contraceptive methods (i.e. sterilization, intrauterine device, vasectomized partner; or medical history of hysterectomy)
7. Acute symptomatic urinary tract infection (UTI) or genital infection
8. Patients currently being treated with any SGLT-2 inhibitor or having received treatment with any SGLT-2 inhibitor within the 4 weeks prior to the screening visit","Empagliflozin 10 mg, Placebo Oral Tablet",INTERVENTIONAL,COMPLETED
NCT02725099,Chewing Versus Traditional Oral Administration of Ticagrelor in STEMI Patients,"Acute Coronary Syndromes, ST Elevation Myocardial Infarction","1. Patients presenting with STEMI
2. Informed, written consent","1. Age \< 18 years or Age \> 90 years
2. Active bleeding; bleeding diathesis; coagulopathy
3. Increased risk of bradycardic events
4. History of gastrointestinal or genitourinary bleeding \<2 months
5. Major surgery in the last 6 weeks
6. History of intracranial bleeding or structural abnormalities
7. Suspected aortic dissection
8. Any other condition that may put the patient at risk or influence study results or investigator's opinion (severe hemodynamic instability, unconsciousness, known malignancies or other comorbid conditions with life expectancy \<1 year)
9. Administration in the week before the index event of clopidogrel, ticlopidine, prasugrel, ticagrelor, thrombolytics, bivalirudin, low-molecular weight heparin or fondaparinux.
10. Concomitant oral or IV therapy with strong CYP3A inhibitors or strong CYP3A inducers, CYP3A with narrow therapeutic windows
11. Known relevant hematological deviations: Hb \<10 g/dl, PLT\<100x10\^9/l
12. Use of coumadin derivatives within the last 7 days
13. Chronic therapy with ticagrelor, prasugrel, clopidogrel or ticlopidine
14. Known severe liver disease, severe renal failure
15. Known allergy to the study medications
16. Pregnancy
17. Human immunodeficiency virus treatment
18. The use of IIBIIIA receptor antagonists in the 48 hours before enrollment (if abciximab use then in the last 14 days).
19. If the patients cannot sign percutaneous coronary intervention (PCI) informed consent for any reason.","Chewing Ticagrelor, Oral Ticagrelor",INTERVENTIONAL,COMPLETED
NCT02938949,Alirocumab in Patients With Acute Myocardial Infarction,"Myocardial Infarction, Hypercholesterolemia","1. Acute type I (spontaneous) NSTEMI defined as chest pain (or equivalent) with an onset of symptoms within 12 hours of presentation, a duration of \>15 minutes, and elevated cardiac troponin I levels, with or without electrocardiographic changes \[with the exclusion of ST elevation\];
2. On medical therapy with high intensity statin prior to admission (either atorvastatin 40-80 mg or rosuvastatin 20-40 mg) as documented by hospital or pharmacy records and with known LDL cholesterol ≥70 mg/dL within the prior 12 months.","1. Age \<21 years of age
2. Inability to give informed consent
3. Previous, current or planned treatment with a PCSK9 inhibitor
4. Known history of loss of function of PCSK9 (genetic mutation or sequence variation)
5. Patient with homozygous familial hypercholesterolemia (clinically or by previous genotyping)
6. Recent (\<14 days) or active use of immunosuppressive drugs (including but not limited to high-dose corticosteroids \[\>1mg/kg of prednisone equivalent\], Tumor Necrosis Factor-α blockers, cyclosporine) not including non-steroidal antinflammatory drugs or corticosteroids used for IV dye allergy or corticosteroids used as replacement therapy for pituitary/adrenal disease with a stable regimen for at least 6 weeks prior to randomization (note: topical, intra-articular, nasal, inhaled, and ophthalmic steroid therapies are not considered ""systemic"" and are allowed);
7. Chronic auto-immune or auto-inflammatory disease (including but not limited to rheumatoid arthritis, systemic lupus erythematosus);
8. History of cancer within the past 5 years, except for adequately treated basal cell skin cancer, squamous cell skin cancer, or in situ cervical cancer;
9. Known chronic hepatitis B or C infection (excluding patients with a positive antibody who were successfully treated or who have demonstrated no viral load);
10. Known human immunodeficiency virus infection.
11. Use of fibrates other than fenofibrate within 6 weeks of the screening visit.
12. Uncontrolled hypothyroidism. Note: patients on thyroid replacement therapy can be included if the dosage of thyroxin has been stable for at least 12 weeks prior to screening.
13. Known history of a hemorrhagic stroke.
14. Has been previously treated with at least 1 dose of alirocumab or any other anti-PCSK9 monoclonal antibody in other clinical studies.
15. Conditions/situations such as:

    1. Any clinically significant abnormality identified at the time of screening that in the judgment of the investigator or any sub-investigator would preclude safe completion of the study or constrain assessment of endpoints, such as major systemic diseases or patients with short life expectancy.
    2. Patients considered by the investigator or any sub-investigator to be inappropriate for this study for any reason:

    i. Those patients deemed unable to meet specific protocol requirements, such as scheduled visits.

    ii. Those patients the investigator deems unable to administer or tolerate long-term injections.

    c. Investigator or any sub-investigator, pharmacist, study coordinator, other study staff, or relative thereof directly involved in the conduct of the protocol.

    d. Presence of any other conditions (geographic or social), actual or anticipated, that the investigator feels would restrict or limit the patient's participation for the duration of the study.
16. Thyroid-stimulating hormone (TSH) \< lower limit of normal (LLN) or \> upper limit of normal (ULN); if TSH is abnormal due to controlled hypothyroidism (patient is on a stable dose of thyroid replacement therapy), the patient may be enrolled into the study;
17. Exclusion Criteria Related to the Active Comparator and/or Mandatory Background Therapies: All contraindications to the background therapies or warnings/precautions of use (when appropriate) as displayed in the respective national product labeling.
18. Exclusion Criteria Related to the Current Knowledge of Alirocumab

    1. Known hypersensitivity to monoclonal antibody therapeutics
    2. Pregnant or breastfeeding women
19. Women of childbearing potential who are not protected by highly effective method(s) of birth control throughout the entire duration of study treatment and for 10 weeks after the last dose of study drug and/or who are unwilling or unable to be tested for pregnancy.
20. Men capable of impregnating women who are not protected by highly effective method(s) of birth control and/or who are unwilling to use an effective contraceptive method throughout the entire duration of study treatment and for 10 weeks after the last dose of study drug.","alirocumab, placebo",INTERVENTIONAL,COMPLETED
NCT00354406,Efficacy Study on Early Versus Late Abciximab Administration During Primary Coronary Angioplasty,Myocardial Infarction,"* Prolonged, continuous signs and symptoms of ischemia lasting more than 20 min, starting within 6 hours prior to randomization, and ST segment elevation ≥ 2mm or new left bundle branch block
* Absence of contraindications to Abciximab (for details cf. below section)
* Written informed consent","* Low-risk (ST elevation in ≤2 leads) inferior AMI
* Previous infarction in the same area (assessed by ECG)
* PCI in the 2 weeks prior to AMI
* Know hypersensitivity to abciximab
* Active internal bleeding
* History of cerebrovascular accident in the previous 2 years or cerebrovascular accident with a significant residual neurological deficit
* Head or spine surgery or trauma in the previous 2 months
* Recent (within six weeks) gastrointestinal (GI) or genitourinary (GU) bleeding of clinical significance
* Administration of oral anticoagulants within seven days unless prothrombin time is \<1.2 times control
* Bleeding diathesis or severe uncontrolled arterial hypertension
* Thrombocytopenia (\<100 000 cells/mL)
* Recent (within six weeks) major surgery or trauma
* Intracranial neoplasm, arteriovenous malformation, or aneurysm
* Severe renal or liver failure
* Allergy to aspirin
* Contraindication to MRI examination",abciximab,INTERVENTIONAL,COMPLETED
NCT00442806,Randomized Clinical Trial of Adipose-Derived Stem Cells in the Treatment of Pts With ST-elevation Myocardial Infarction,"Myocardial Infarction, Coronary Arteriosclerosis, Cardiovascular Disease, Coronary Disease","Key 

* Acute myocardial infarction (AMI)
* Clinical symptoms consistent with AMI for a minimum of 2 and a maximum of 12 hours from onset of symptoms to Percutaneous Coronary Intervention (PCI), and unresponsive to nitroglycerin
* Successful revascularization of the culprit lesion in the major epicardial vessel
* Area of hypo- or akinesia corresponding to the culprit lesion, as determined by left ventriculogram at the time of primary PCI
* Left ventricular ejection fraction (LVEF) ≥30% and ≤50% by Left Ventricular Angiography at the time of successful revascularization.
* Ability to undergo liposuction

Key","* Prior MI, prior known cardiomyopathy, or prior hospital admission for congestive heart failure (CHF)
* More than 24 hours after acute PCI
* Significant valvular disease
* More than twelve hours between the onset of first symptoms of AMI and revascularization
* Hemodynamic instability within 24 hours prior to randomization
* Neoplasia
* Acute or chronic bacterial or viral infectious disease
* Pacemaker, ICD or any other contra-indication for MRI
* LVEF \<30% or \>50% by Left Ventricular Angiography
* Moderate or severe COPD","Injection of ADRC's, Injection of Placebo",INTERVENTIONAL,COMPLETED
NCT01596036,Readiness for Behavior Change After a Heart Attack,"Myocardial Infarction, Stable Angina, Coronary Artery Disease","* Stable Angina
* Myocardial infarction
* Percutaneous coronary intervention
* willingness to participate and consent for medical record review
* willingness to complete survey's","* Recent illicit drug use
* Unstable psychiatric condition
* Moderate or severe dementia
* Inability to follow-up
* Leaving system with plans to enroll in cardiac rehabilitation out-of-system
* Inability to exercise (amputee, severe claudication)
* Unstable medical condition that would prevent regular exercise training
* Uncorrected severe aortic stenosis or severe mitral stenosis
* Referring physician feels that exercise is contra-indicated due to safety or other patient specific factors
* CABG, LVAD, or Heart Transplant","Early appointment (within 10 days), Routine referral (at 5 weeks)",INTERVENTIONAL,COMPLETED
NCT02804906,Rehabilitation in the Home Setting for Older Adults In the Early Period After Myocardial Infarction,Acute Myocardial Infarction (AMI),* Clinical diagnosis of acute myocardial infarction (AMI).,"* moderate to severe cognitive impairment; non-ambulatory
* severe heart failure (NYHA Class IV); decisional impairment as assessed by the University of California
* San Diego Brief Assessment of Capacity to Consent (UBACC) 22, if the RC questions capacity; very limited life expectancy (e.g. anticipated discharge to hospice)
* non-English/non-Spanish speaking.","Home-based physical therapy, Usual Care",INTERVENTIONAL,COMPLETED
NCT00590070,THE REOPEN-AMI STUDY - Intracoronary Nitroprusside Versus Adenosine in Acute Myocardial Infarction,Myocardial Infarction,"1. Symptoms onset \< 12 hours prior to enrollment
2. ST-segment elevation of at least 2 mm in two or more contiguous leads
3. TIMI flow 0-1 at baseline angiography","Demographic, history and clinical examination

1. age less than 18 years
2. previous STEMI
3. patients presenting in cardiogenic shock
4. pregnancy
5. patients with renal failure
6. contraindications to contrast agents, which cannot be managed medically or study medications, including aspirin, clopidogrel and ticlopidine, and heparin

   Electrocardiogram
7. left bundle branch block, paced rhythm, frequent ventricular ectopy, pre-excitation or other conditions or artifacts interfering with interpretation of ST segment resolution Angiography
8. culprit lesion located in a by-pass graft
9. stent thrombosis
10. culprit lesion non identified
11. left main disease","adenosine, nitroprusside, placebo",INTERVENTIONAL,COMPLETED
NCT04564742,Dapagliflozin Effects on Cardiometabolic Outcomes in Patients With an Acute Heart Attack.,"Acute Myocardial Infarction, Heart Failure","* Participant must be ≥18 at the time of signing the informed consent
* Confirmed MI, either STEMI or NSTEMI, according to the fourth universal definition of MI (Thygesen et al 2019), within the preceding 7 days, or 10 days if earlier randomisation is not feasible
* Evidence of impaired regional or global LV systolic function at any timepoint during current MI-related hospitalisation (established with echocardiogram, radionuclide ventriculogram, contrast angiography or cardiac MRI) or definitive evidence on ECG of Q wave MI (defined as presence of Q waves in two or more contiguous leads, excluding leads III and aVR, and meeting all the following criteria: at least 1.5 mm in depth; at least 30 ms in duration; and, if R wave present, more than 25% of the size of the subsequent R wave)
* Hemodynamically stable at randomization (no episodes of symptomatic hypotension, or arrhythmia with haemodynamic compromise in the last 24 hours).
* Male or female
* Capable of giving signed informed consent which includes compliance with the requirements and restrictions listed in the informed consent form (ICF) and in the protocol
* Provision of signed and dated, written informed consent prior to any mandatory study specific procedures, sampling, and analyses","* Known type 1 diabetes mellitus (T1DM) or T2DM at the time for admission. Patients with hyperglycaemia, but without a diagnosis of diabetes mellitus prior to the index event, are eligible at the discretion of the Investigator. Patients who present with signs and symptoms consistent with ketoacidosis, including nausea, vomiting, abdominal pain, malaise and shortness of breath should be assessed for ketoacidosis, and if ketoacidosis is confirmed the patient should not be randomized.
* Chronic symptomatic HF with a prior HHF within the last year and known reduced ejection fraction (LVEF≤40 %), documented before the current MI hospitalization
* Severe (eGFR \<20 mL/min/1.73 m2 by local laboratory), unstable or rapidly progressing renal disease at the time of randomization
* Severe hepatic impairment (Child-Pugh class C) at the time of inclusion into the trial
* Active malignancy requiring treatment at the time of screening, except for basal cell- or squamous cell carcinoma of the skin, presumed possible to treat successfully
* Any non-CV condition, eg malignancy, with a life expectancy of less than two years based on the investigator´s clinical judgement
* Currently on treatment, or with an indication for treatment, with a sodium glucose co-transporter 2 inhibitor (SGLT2-inhibitor)","Dapagliflozin, Placebo",INTERVENTIONAL,COMPLETED
NCT00279175,REPAIR-AMI: Intracoronary Progenitor Cells in Acute Myocardial Infarction (AMI),Myocardial Infarction,"* Patients with acute myocardial infarction (ST elevation in at least 2 leads \>= 0.2 mV in V1,V2 or V3 or \>= 0.1 mV in other leads), treated by one of the following procedures

  * Either acute PCI with stent implantation within 24 hours after symptom onset or
  * treatment with thrombolysis within 12 hours of symptom onset followed by PCI with stent implantation within 24 hours after thrombolysis.
* Acute PCI / stent implantation has been successful (residual stenosis visually \< 30% and TIMI flow \>= 2).
* At the time of inclusion patient does no longer require i.v. catecholamines or mechanical hemodynamic support (aortic balloon pump)
* Significant regional wall motion abnormality in LV angiogram at the time of acute PCI (ejection fraction \<= 45% on visual estimation).
* Maximal CK elevation \>= 400 U/l (measured at 37° C) with significant MB fraction \> 6%
* Age 18 - 80 Years
* Written informed consent","* Regional wall motion abnormality outside the area involved in the index acute myocardial infarction.
* Need to revascularize additional vessels, outside the infarct artery.
* Arteriovenous malformations or aneurysms
* Active infection (CRP \> 10 mg/dl) now, or fever or diarrhea within last 4 weeks.
* Chronic inflammatory disease
* HIV infection or active hepatitis
* Neoplastic disease without documented remission within the past 5 years.
* Cerebrovascular insult within 3 months
* Impaired renal function (creatinine \> 2 mg/dl) at the time of cell therapy
* Significant liver disease (GOT \> 2x upper limit) or spontaneous INR \> 1,5)
* Anemia (hemoglobin \< 8.5 mg/dl)
* Platelet count \< 100.000/µl
* Hypersplenism
* Known allergy or intolerance to clopidogrel, heparin or abciximab.
* History of bleeding disorder
* Gastrointestinal bleeding within 3 months
* Major surgical procedure or traumata within 2 months
* Uncontrolled hypertension
* Pregnancy
* Mental retardation
* Previously performed stem / progenitor cell therapy
* Participation in another clinical trial within the last 30 days.","Intracoronary infusion of enriched bone marrow-derived progenitor cells, Placebo medium supplemented with autologous serum",INTERVENTIONAL,COMPLETED
NCT01124942,MGuard Stent in ST-elevation Myocardial Infarction,"ST-elevation Myocardial Infarction, Thrombus, Stents","* \>/= 18-year-old patients, willing to participate the study, after informed consent signature
* Female not pregnant or potentially child-bearing
* \> 1 mV ST segment elevation in two or more contiguous leads
* Acute MI lasting more than 30 minutes and less than 12 hours
* De novo acute MI
* Infarct related artery reference vessel diameter \>/= 2.5 mm
* Patient suitable for stenting according to vessel and lesion features","* Dual antiplatelet therapy contraindication
* Ischemic stroke less than 30 days or previous haemorrhagic stroke
* WBC count less than 1000 per mm3;
* Platelet count less than 50.000 per mm3
* Life expectancy less than 1 year
* Cardiogenic shock at admission
* Previous stented infarct related artery
* Stent thrombosis as the responsible for current STEMI
* Inability to identify infarct related artery
* True bifurcation lesion, or lesion near a side branch with a reference vessel diameter \>/= 2.5 mm that could be diseased after stenting procedure
* LBBB
* Definitive pacing (or ECG abnormalities precluding ST-segment resolution evaluation
* Participation other study","MGuard net protective coronary stent, Bare-metal stent and manual thrombectomy device",INTERVENTIONAL,COMPLETED
NCT01360242,Minimal Invasive Procedure for Myocardial Infarction,ST Elevation Myocardial Infarction,"* Patients with acute STEMI presenting within 12 hours of symptom onset, requiring a primary percutaneous coronary intervention; and written informed consent.
* Patients will be randomized during the angiography if the initial TIMI flow is 0 or 1 in a major artery and if TIMI-3 flow can be restored after thrombus aspiration and sustained for 10 minutes.
* Acute STEMI is defined as typical chest pain with 30 minutes of sustained ST-segment elevation \>1 mm in two or more consecutive limb leads or \>2 mm in two or more precordial leads in the ECG. Major artery is defined as the proximal or mid segment of the left descending artery, the proximal segment of the circumflex artery (before the first marginal), or the right coronary artery before the posterior descendant artery.","* Patients less than 18 years' old
* Pregnant and breast feeding women
* Patients with a pacemaker, automated implantable cardioverter-defibrillator (AICD), or left bundle branch block
* Contraindication to abciximab, prasugrel, or clopidogrel
* Cardiac arrest as initial presentation
* Current medical condition with a life expectancy of \< 6 months
* Patients not living in France
* Patients in cardiogenic shock
* Culprit artery \<2.5 mm
* Absence of informed consent
* Patients with initial TIMI 2 or 3 flow or no TIMI-3 flow restored after thrombus aspiration
* Rescue PCI after fibrinolysis
* Known creatinine clearance \< 30 ml/min.","MIMI procedure (two-step strategy), Immediate Stenting (one-step strategy)",INTERVENTIONAL,COMPLETED
NCT00922675,Postconditioning in ST-elevation Myocardial Infarction,Myocardial Infarction,"* acute symptoms consistent with an acute myocardial infarction of less than 6 hours duration
* an occluded infarct related artery must be demonstrated (TIMI-flow 0-1)","* Prior myocardial infarction
* Demonstration of collaterals to the infarcted area
* TIMI-flow \>1 before intervention or TIMI-flow \<2 after initial balloon inflation
* Demonstration of a distal occlusion
* Patients given thrombolytic treatment
* Patients in cardiogenic shock
* Any contraindication to MRI (magnetic resonance imaging)
* Unwillingness to participate","Postconditioning, Control intervention",INTERVENTIONAL,COMPLETED
NCT03135275,MULTivessel Immediate Versus STAged RevaScularization in Acute Myocardial Infarction -The MULTISTARS AMI Trial,"ST-elevation Myocardial Infarction, Multivessel Coronary Disease","* Age ≥ 18 years
* Spontaneous acute STEMI (patients presenting within 24 hours of symptom onset)
* Suitability for PCI from femoral or radial access
* Coronary anatomy suitable for complete coronary revascularization with Synergy® stent implantation
* Identifiable culprit lesion/artery
* At least one non-culprit coronary stenosis ≥ 70% in at least two projections, in a vessel with a lumen diameter ≥2.25 - ≤5.75 mm, other than the culprit artery
* TIMI Flow 3 or TIMI flow 2 after revascularization of the culprit artery
* Stable hemodynamics at the end of the culprit vessel revascularization","* Inability to give informed consent
* Cardiogenic shock
* Prolonged resuscitation \>10 min
* General unsuitability for PCI
* Need for emergency CABG
* Previous CABG
* Planned hybrid revascularization
* Coronary artery dissection
* STEMI due to ST
* Previous documented allergic reaction to everolimus or to any stent material
* Severe mechanical complication of acute myocardial infarction
* Pre-existing severe renal failure (eGFR \<30 mL/min) or renal replacement therapy
* Chronic total occlusion of a major coronary artery
* Left main stem stenosis ≥50% or left main stem equivalent (ostial left anterior descending and ostial circumflex stenosis ≥70%)
* In-stent restenosis
* Panned coronary, cerebrovascular, or peripheral arterial revascularization
* Planned cardiac or major surgery
* Any contraindications for dual antiplatelet therapy with aspirin and a P2Y12 Inhibitor for at least 90 days, except for patients on oral anticoagulation
* Known pregnancy at the time of inclusion
* Participation in another clinical study with an investigational product
* Life expectancy \<1 year","Staged complete PCI, Immediate complete PCI, Synergy™ stent",INTERVENTIONAL,COMPLETED
